,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
Dy-156,3.6366e-19,1.4151e-18,3.9810e-18,5.3595e-18,6.1641e-18
Dy-157,1.5398e-21,3.7791e-21,1.9850e-21,1.3136e-21,2.1652e-21
Dy-158,1.0647e-16,4.3158e-16,1.3630e-15,6.2214e-15,7.4864e-15
Dy-159,5.3603e-16,1.9749e-15,3.7978e-15,1.8880e-13,6.1690e-14
Dy-160,6.8928e-11,7.0220e-10,5.5782e-09,2.4372e-08,2.5228e-08
Dy-161,2.4080e-09,9.6785e-09,2.9090e-08,5.1708e-08,5.9432e-08
Dy-162,1.2307e-09,4.9710e-09,1.8381e-08,3.2540e-08,3.5827e-08
Dy-163,5.9035e-10,2.9225e-09,1.0239e-08,2.5040e-08,3.6575e-08
Dy-164,1.8270e-10,7.6741e-10,2.2347e-09,4.3450e-09,9.0113e-09
Dy-165,9.8038e-18,2.2165e-17,4.4847e-17,1.0919e-16,2.2134e-16
Dy-166,2.3049e-12,3.6658e-12,2.8037e-12,3.3441e-12,4.8499e-12
Ho-159,4.2707e-42,1.0429e-41,5.5048e-42,2.8565e-42,5.2850e-42
Ho-161,3.8537e-24,9.1094e-24,4.9995e-24,2.8962e-24,5.1923e-24
Ho-162,6.8041e-30,1.5066e-29,8.6478e-30,6.1101e-30,1.0267e-29
Ho-162m,3.8044e-29,8.4240e-29,4.8353e-29,3.4164e-29,5.7406e-29
Ho-163,1.2799e-15,4.7575e-15,1.4355e-14,2.3284e-14,3.0645e-14
Ho-163m,1.1017e-38,2.7174e-38,1.5639e-38,8.4955e-39,1.7317e-38
Ho-164,7.4851e-35,1.3072e-34,8.3499e-35,1.0487e-34,1.5847e-34
Ho-164m,2.3230e-35,4.0567e-35,2.5914e-35,3.2547e-35,4.9182e-35
Ho-165,1.0912e-10,5.9835e-10,3.7029e-09,8.0725e-09,1.3415e-08
Ho-166,9.5000e-13,1.7231e-12,2.3329e-12,3.3621e-12,5.1826e-12
Ho-166m,8.7759e-14,4.6175e-13,2.3785e-12,8.5120e-12,1.2359e-11
Ho-167,1.2447e-17,1.9395e-17,1.6902e-17,4.6147e-17,6.1389e-17
Er-161,2.6034e-26,6.4001e-26,3.3766e-26,1.7462e-26,3.2331e-26
Er-162,2.4963e-19,9.9780e-19,2.9541e-18,4.5760e-18,5.0592e-18
Er-163,3.3709e-30,8.3143e-30,4.7848e-30,2.5993e-30,5.2984e-30
Er-164,2.5595e-15,9.3514e-15,2.7072e-14,1.6994e-13,1.0518e-13
Er-165,7.1113e-20,1.9613e-19,1.7710e-19,7.7788e-19,8.1376e-19
Er-166,3.6971e-11,1.6874e-10,7.8490e-10,2.2838e-09,3.5768e-09
Er-167,8.1300e-12,2.0634e-11,4.3355e-11,9.1524e-11,1.2040e-10
Er-167m,3.0321e-22,4.7333e-22,4.1158e-22,1.1189e-21,1.4893e-21
Er-168,6.7826e-12,3.4307e-11,1.5137e-10,3.4659e-10,4.8394e-10
Er-169,2.9057e-13,5.3260e-13,6.8801e-13,8.1445e-13,1.5254e-12
Er-170,5.5273e-13,1.7467e-12,6.0255e-12,1.0652e-11,1.5921e-11
Er-171,5.4688e-17,9.3498e-17,7.8210e-17,1.0431e-16,2.4696e-16
Er-172,3.7437e-15,5.5995e-15,3.9265e-15,5.7460e-15,1.2327e-14
Tm-165,6.1659e-22,1.5130e-21,7.2543e-22,9.6499e-22,1.3127e-21
Tm-166,1.5865e-22,3.9594e-22,2.3801e-22,1.3696e-22,2.4595e-22
Tm-167,8.3914e-19,1.6237e-18,1.0856e-18,1.2175e-18,1.9056e-18
Tm-168,1.9275e-17,5.6675e-17,9.8452e-17,1.2319e-16,1.4193e-16
Tm-169,1.3460e-12,5.1206e-12,1.8234e-11,3.3883e-11,5.4861e-11
Tm-170,3.0097e-16,8.5228e-16,1.7680e-15,2.4586e-15,3.1568e-15
